,freq,Re(Z),-Im(Z),|Z|,Phase(Z),time,<Ewe>,<I>,Cs,Cp,cycle number,I Range,|Ewe|,|I|,Ns,(Q-Qo),THD Ewe,NSD Ewe,NSR Ewe,THD I,NSD I,NSR I,|Ewe h2|,|Ewe h3|,|Ewe h4|,|Ewe h5|,|Ewe h6|,|Ewe h7|,|I h2|,|I h3|,|I h4|,|I h5|,|I h6|,|I h7|,uts
10,21544.687500000000000,2.190849304199219,0.394792884588242,2.226136207580566,-10.215119361877441,11.281491309142439,0.000800812384114,-0.094317957758904,18.711585998535156,0.588499069213867,1.000000000000000,37,0.010581646114588,0.004753368906677,0,-0.000244363254916,0.194321885704994,0.086494915187359,3.056308507919312,0.233466193079948,0.178682804107666,3.604782581329346,0.000009217637853,0.000011177252418,0.000006298011158,0.000004533465471,0.000005732790669,0.000010272312466,0.000004020565484,0.000004956705197,0.000003572181413,0.000005890748071,0.000002065047966,0.000004300809906,1667514175.918491363525391
11,14678.589843750000000,2.224807739257812,0.560949265956879,2.294435262680054,-14.151252746582031,12.135493349720491,0.000791305617895,-0.086786009371281,19.329126358032227,1.155334591865540,1.000000000000000,37,0.010524452663958,0.004586946684867,0,-0.000258252115749,0.192719072103500,0.103407107293606,3.051402807235718,0.205183982849121,0.113639302551746,3.757461309432983,0.000007285485935,0.000010893539184,0.000005998137112,0.000005798231541,0.000009641580618,0.000004563106359,0.000005990460977,0.000002292042382,0.000003096504315,0.000001342208520,0.000003928721526,0.000003192107215,1667514176.772493362426758
12,10002.225585937500000,2.257030010223389,0.787115395069122,2.390341997146606,-19.225679397583008,12.989494136912981,0.000819117587525,-0.088930018246174,20.215526580810547,2.192006349563599,1.000000000000000,37,0.010455464012921,0.004374045412987,0,-0.000282147436192,0.176744565367699,0.061496287584305,3.138036489486694,0.219652846455574,0.114430405199528,3.935568571090698,0.000011551247553,0.000006361056421,0.000006547876637,0.000005722697551,0.000006407255114,0.000005911233984,0.000004988288310,0.000003290032282,0.000002528281357,0.000004443999387,0.000002011345032,0.000003318117706,1667514177.626494169235229
13,6811.067382812500000,2.297091484069824,1.109505295753479,2.551005840301514,-25.780746459960938,13.913524900824996,0.000651761074550,-0.087289392948151,21.060834884643555,3.983927488327026,1.000000000000000,37,0.010653456673026,0.004176178947091,0,-0.000300494804690,0.156916454434395,0.055211182683706,3.108581542968750,0.278872191905975,0.158080354332924,4.115018844604492,0.000008674149285,0.000007980778719,0.000007109993930,0.000005334260095,0.000004384228305,0.000005604812486,0.000006098285667,0.000002224718173,0.000002285857590,0.000004764500773,0.000004537115274,0.000005479718766,1667514178.550524950027466
14,4641.488281250000000,2.338323354721069,1.573807954788208,2.818621635437012,-33.942516326904297,14.906704521388747,0.000644155661575,-0.084101378917694,21.787689208984375,6.792678356170654,1.000000000000000,37,0.010354909114540,0.003673749277368,0,-0.000325797926583,0.220524773001671,0.150878652930260,3.228638648986816,0.332975149154663,0.198687121272087,4.731922626495361,0.000015719320800,0.000007257631751,0.000009045596016,0.000005733485068,0.000005550916740,0.000007045732218,0.000007339191598,0.000004820110462,0.000004118065590,0.000003333288987,0.000001694181833,0.000005932025942,1667514179.543704509735107
15,3163.039794921875000,2.376542568206787,2.250931262969971,3.273323297500610,-43.445106506347656,15.876544700731756,0.000641061284114,-0.085108116269112,22.353897094726562,10.570606231689453,1.000000000000000,37,0.010147853754461,0.003100168425590,0,-0.000348845471266,0.217314824461937,0.165215596556664,3.237626552581787,0.484480410814285,0.150323897600174,5.641884803771973,0.000016041121853,0.000007473827282,0.000008453854207,0.000004265120879,0.000003947781806,0.000005072250133,0.000013167925317,0.000003901138371,0.000001312635504,0.000004589697255,0.000001668049094,0.000002732776238,1667514180.513544797897339
16,2154.312988281250000,2.451775074005127,3.255036354064941,4.075102806091309,-53.012023925781250,17.097800652118167,0.000642123806756,-0.006660461425781,22.696323394775391,14.480716705322266,1.000000000000000,38,0.010159051977098,0.002492955885828,0,-0.000355134891205,0.362185150384903,0.140603855252266,2.938649177551270,0.439699441194534,0.083034165203571,0.756995260715485,0.000032572057535,0.000009718211004,0.000004477414222,0.000005099156624,0.000005785108897,0.000009159530237,0.000010793452930,0.000000988096758,0.000000757089481,0.000000941475491,0.000000405748125,0.000000787843192,1667514181.734800815582275
17,1467.652587890625000,2.541038036346436,4.701173305511475,5.343959808349609,-61.608272552490234,17.848085434408858,0.000647212727927,-0.006639966741204,23.066972732543945,17.851583480834961,1.000000000000000,38,0.009485216811299,0.001774941687472,0,-0.000357109646548,0.347029477357864,0.094647027552128,3.185499668121338,0.777799427509308,0.041604340076447,1.057149052619934,0.000028706053854,0.000009391667845,0.000005655155746,0.000007826823094,0.000004212795375,0.000006348135685,0.000013515516912,0.000002540535888,0.000000484552288,0.000000939058793,0.000000457292032,0.000000312125252,1667514182.485085487365723
18,999.681640625000000,2.665152549743652,6.798110961914062,7.301873207092285,-68.592681884765625,18.818820333865006,0.000640464772005,-0.006757457274944,23.419097900390625,20.299160003662109,1.000000000000000,38,0.009854329749942,0.001349561847746,0,-0.000357184785351,0.277850925922394,0.121535733342171,3.113640546798706,1.109451770782471,0.071437045931816,1.374592542648315,0.000019133136448,0.000007618445579,0.000002434100452,0.000005736074399,0.000009970334759,0.000011532065400,0.000014461235878,0.000003511772547,0.000000572236502,0.000001392044510,0.000000284943809,0.000000374844717,1667514183.455820322036743
19,681.089599609375000,2.851343393325806,9.829727172851562,10.234925270080566,-73.823959350585938,19.566414262662875,0.000642049242742,-0.006626941263676,23.772476196289062,21.927442550659180,1.000000000000000,38,0.009459569118917,0.000924244115595,0,-0.000359247119155,0.247642770409584,0.080347456037998,3.274790048599243,1.188479781150818,0.038079638034105,2.002125024795532,0.000013956041585,0.000012986337424,0.000009188371223,0.000004794804681,0.000002503817541,0.000006537311037,0.000010497712537,0.000002564099077,0.000000770717179,0.000001680369564,0.000000284130721,0.000000436162850,1667514184.203414440155029
20,464.256866455078125,3.129437208175659,14.217977523803711,14.558305740356445,-77.586883544921875,20.316099764924729,0.000650884932838,-0.007039035204798,24.111484527587891,22.997358322143555,1.000000000000000,38,0.009260818362236,0.000636119220871,0,-0.000360816828583,0.244886934757233,0.089038342237473,3.388507127761841,1.182270288467407,0.101508595049381,2.982140302658081,0.000012627967408,0.000006744636721,0.000006215720532,0.000011891871509,0.000007015028586,0.000006969779406,0.000006989489066,0.000002026918537,0.000000516172236,0.000001758407166,0.000000361023865,0.000000256308567,1667514184.953099966049194
21,316.315887451171875,3.571300268173218,20.516004562377930,20.824520111083984,-80.125251770019531,21.063935187150491,0.000651108624879,-0.006490839645267,24.524848937988281,23.803560256958008,1.000000000000000,38,0.009152730926871,0.000439516996266,0,-0.000362401119570,0.190242156386375,0.064780361950397,3.473618030548096,1.317977905273438,0.102231763303280,4.274828910827637,0.000006596878393,0.000008654224985,0.000003229835784,0.000006411118193,0.000008630005141,0.000006151721209,0.000005210026302,0.000001740934295,0.000000617412866,0.000001639208222,0.000000256868731,0.000000334400198,1667514185.700935363769531
22,215.482711791992188,4.221402168273926,29.730089187622070,30.028293609619141,-81.918540954589844,22.063320647954242,0.000640073325485,0.000275798724033,24.843425750732422,24.352445602416992,1.000000000000000,39,0.009350555017591,0.000311391486321,0,-0.000362587235866,0.274389445781708,0.045128364115953,2.814695119857788,1.524712204933167,0.019084611907601,1.128701686859131,0.000012909014913,0.000010162430044,0.000004915034879,0.000015173242900,0.000009267546375,0.000004776437436,0.000004139396424,0.000001125451490,0.000000148794896,0.000002013690846,0.000000181009199,0.000000159466893,1667514186.700320720672607
23,146.737701416015625,5.209000587463379,42.992317199707031,43.306732177734375,-83.091651916503906,22.808363856660435,0.000628814334050,0.000260888802586,25.228275299072266,24.863281250000000,1.000000000000000,39,0.009193872101605,0.000212296596146,0,-0.000362534623668,0.209668576717377,0.108549438416958,2.872883796691895,1.382306694984436,0.055207688361406,1.678443670272827,0.000012404879271,0.000003011377430,0.000003948577159,0.000010372164979,0.000005369241535,0.000006235603905,0.000002697284799,0.000000592643971,0.000000065558886,0.000000935824062,0.000000148981286,0.000000235158851,1667514187.445363998413086
24,99.968162536621094,6.726283073425293,62.105842590332031,62.469020843505859,-83.818756103515625,23.544825864999439,0.000653550552670,0.000241133471718,25.634565353393555,25.337368011474609,1.000000000000000,39,0.009122842922807,0.000146037869854,0,-0.000362540629160,0.220634430646896,0.078959181904793,2.899779796600342,1.284916400909424,0.061722923070192,2.536308765411377,0.000006292376383,0.000009738283552,0.000003278643817,0.000012319533198,0.000008548166079,0.000003182478622,0.000001725743914,0.000000525167252,0.000000059045231,0.000000502775777,0.000000050978013,0.000000080668990,1667514188.181825876235962
